Field;Rig;Wellbore;Section;Start time;End time
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;"12 1/4""";2007-02-10 15:30:00;2007-04-10 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_PERF;2008-03-07 02:45:00;2008-10-07 18:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;INTERVENTION;2015-10-24 21:45:00;2015-02-11 21:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;"8 1/2""";1993-02-25 17:00:00;1993-03-15 10:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_OTHER;2007-08-09 11:30:00;2007-09-09 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;INTERVENTION;2015-05-08 11:00:00;2015-08-16 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;INTERVENTION;2014-11-27 09:00:00;2014-06-12 18:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;MOVE;2016-07-28 09:00:00;2016-07-28 10:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-99;MOBILIZ;2016-02-06 00:00:00;2016-01-10 15:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;"9 7/8""";1992-09-18 01:00:00;1992-09-19 06:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;"36""";1992-09-19 06:00:00;1992-09-21 19:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;"26""";1992-11-18 07:00:00;1992-11-22 15:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;PREP_TECH_STRACK;1992-12-12 19:30:00;1992-12-18 12:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;"12 1/4""";1992-12-18 12:00:00;1993-01-28 07:30:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 ST2;COMPL_LINER;1993-03-15 10:30:00;1993-03-26 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;INTERVENTION;2016-04-20 06:45:00;2016-04-24 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;PERM P&A;2016-07-30 04:15:00;2016-10-19 11:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;PERM P&A;2016-06-15 00:45:00;2016-10-22 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;PERM P&A;2016-08-07 11:45:00;2016-10-18 11:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;PERM P&A;2016-08-28 17:45:00;2016-10-16 15:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;PERM P&A;2016-07-28 10:45:00;2016-10-23 01:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;PERM P&A;2016-08-14 18:30:00;2016-10-20 08:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;PERM P&A;2016-09-18 05:45:00;2016-10-21 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;PERM P&A;2016-09-29 01:15:00;2016-10-24 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;PERM P&A;2016-01-10 15:00:00;2016-10-13 02:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;PERM P&A;2016-09-28 16:15:00;2016-09-29 01:15:00
VOLVE;TRANSOCEAN PROSPECT;NO 15/9-19 S;TECHNICAL SIDETRACK;1992-12-12 19:30:00;1992-12-18 12:00:00
VOLVE;TRANSOCEAN PROSPECT;NO 15/9-19 ST2;TECHNICAL SIDETRACK;1992-12-18 12:00:00;1993-08-01 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-99;DEMOBILIZE;2016-10-24 00:00:00;2016-10-25 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-99;DEMOBILIZE;2016-09-10 09:00:00;2016-10-10 10:45:00
